[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 153 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 66 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 3804 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 400 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1157 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 564 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 193 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 2554 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 2554 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 2554 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:24] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 60 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 2554 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 2554 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 1304 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 117.18.232.200, Destination: 172.18.220.6, Size: 194 bytes, TTL: 55, Flags: 
[2024-10-27 21:25:25] Protocol: TCP, Source: 31.13.79.54, Destination: 172.18.220.6, Size: 216 bytes, TTL: 52, Flags: DF
[2024-10-27 21:25:25] Protocol: TCP, Source: 104.16.102.112, Destination: 172.18.220.6, Size: 92 bytes, TTL: 51, Flags: DF
[2024-10-27 21:25:25] Protocol: TCP, Source: 31.13.79.54, Destination: 172.18.220.6, Size: 60 bytes, TTL: 52, Flags: DF
[2024-10-27 21:25:25] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:25] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:25] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:25] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:25] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:25] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:25] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
[2024-10-27 21:25:25] Protocol: TCP, Source: 20.42.65.85, Destination: 172.18.220.6, Size: 60 bytes, TTL: 107, Flags: DF
